Title,Authors,Journal
Sources of the electrical activity of brain areas involving in imaginary movements,"Kerechanin, Ya. V; Husek, D; Bobrov, P. D; Fedotova, I. R; Frolov, A. A.","Neuroscience and Behavioral Physiology Vol. 50, Iss. 7,  (Sep 2020): 845-855."
TMS-EEG biomarkers of amnestic mild cognitive impairment due to Alzheimer’s disease: A proof-of-concept six years prospective study,"Ferreri, Florinda; Guerra, Andrea; Vollero, Luca; Ponzo, David; Määtta, Sara; et al.","Frontiers in Aging Neuroscience Vol. 13,  (Nov 22, 2021)."
Attention reinforces human corticofugal system to aid speech perception in noise,"Price, Caitlin N; Bidelman, Gavin M.","NeuroImage Vol. 235,  (Jul 15, 2021)."
Default mode network connections supporting intra-individual variability in typically developing primary school children: An EEG study,"Privodnova, Evgeniya Yu; Slobodskaya, Helena R; Bocharov, Andrey V; Saprigyn, Alexander E; Knyazev, Gennady G.","Neuropsychology Vol. 34, Iss. 7,  (Oct 2020): 811-823."
Oscillatory activity and EEG phase synchrony of concurrent word segmentation and meaning-mapping in 9-year-old children,"Ramos-Escobar, Neus; Segura, Emma; Olivé, Guillem; Rodriguez-Fornells, Antoni; François, Clément.","Developmental Cognitive Neuroscience Vol. 51,  (Oct 2021)."
"Feasibility of assessing brain activity using mobile, in‐home collection of electroencephalography: Methods and analysis","Troller‐Renfree, Sonya V; Morales, Santiago; Leach, Stephanie C; Bowers, Maureen E; Debnath, Ranjan; et al.","Developmental Psychobiology Vol. 63, Iss. 6,  (Sep 2021)."
"Independent dynamics of low, intermediate, and high frequency spectral intracranial EEG activities during human memory formation","Marks, Victoria S; Saboo, Krishnakant V; Topçu, Çağdaş; Lech, Michal; Thayib, Theodore P; et al.","NeuroImage Vol. 245,  (Dec 15, 2021)."
EEG and fMRI evidence for autobiographical memory reactivation in empathy,"Meconi, Federica; Linde‐Domingo, Juan; Ferreira, Catarina S; Michelmann, Sebastian; Staresina, Bernhard; et al.","Human Brain Mapping Vol. 42, Iss. 14,  (Oct 1, 2021): 4448-4464."
EEG microstates predict concurrent fMRI dynamic functional connectivity states,"Abreu, Rodolfo; Jorge, João; Leal, Alberto; Koenig, Thomas; Figueiredo, Patrícia.","Brain Topography Vol. 34, Iss. 1,  (Jan 2021): 41-55."
Loss of frontal regulator of vigilance during sleep inertia: A simultaneous EEG-fMRI study,"Chen, Xinyuan; Hsu, Ching‐Fen; Xu, Dan; Yu, Jing; Lei, Xu.","Human Brain Mapping Vol. 41, Iss. 15,  (Oct 15, 2020): 4288-4298."
A qualitative awake EEG score for the diagnosis of continuous spike and waves during sleep (CSWS) syndrome in self-limited focal epilepsy (SFE): A case-control study,"Aeby, Alec; Santalucia, Roberto; Van Hecke, Audrey; Nebbioso, Andrea; Vermeiren, Justine; et al.","Seizure: European Journal of Epilepsy Vol. 84,  (Jan 2021): 34-39."
EEG source imaging concordance with intracranial EEG and epileptologist review in focal epilepsy,"Cox, Benjamin C; Danoun, Omar A; Lundstrom, Brian Nils; Lagerlund, Terrence D; Wong-Kisiel, Lily C; et al.","Brain Communications Vol. 3, Iss. 4,  (Nov 19, 2021)."
Whole-brain propagating patterns in human resting-state brain activities,"Takeda, Yusuke; Hiroe, Nobuo; Yamashita, Okito.","NeuroImage Vol. 245,  (Dec 15, 2021)."
"Functional connectivity of EEG is subject-specific, associated with phenotype, and different from fMRI","Nentwich, Maximilian; Ai, Lei; Madsen, Jens; Telesford, Qawi K; Haufe, Stefan; et al.","NeuroImage Vol. 218,  (Sep 2020)."
EEG alpha and beta band functional connectivity and network structure mark hub overload in mild cognitive impairment during memory maintenance,"Fodor, Zsuzsanna; Horváth, András; Hidasi, Zoltán; Gouw, Alida A; Stam, Cornelis J; et al.","Frontiers in Aging Neuroscience Vol. 13,  (Oct 7, 2021)."
Application of referencing techniques in EEG-based recordings of contact heat evoked potentials (CHEPS),"Anders, Malte; Anders, Björn; Kreuzer, Matthias; Zinn, Sebastian; Walter, Carmen.","Frontiers in Human Neuroscience Vol. 14,  (Dec 2, 2020)."
"Examining the effect of online advertisement cues on human responses using eye-tracking, EEG, and MRI","Yen, Chiahui; Chiang, Ming-Chang.","Behavioural Brain Research Vol. 402,  (Mar 26, 2021)."
Building an open source classifier for the neonatal EEG background: A systematic feature-based approach from expert scoring to clinical visualization,"Moghadam, Saeed Montazeri; Pinchefsky, Elana; Tse, Ilse; Marchi, Viviana; Kohonen, Jukka; et al.","Frontiers in Human Neuroscience Vol. 15,  (May 31, 2021)."
Sex differences in resting EEG power in Fragile X Syndrome,"Smith, Elizabeth G; Pedapati, Ernest V; Liu, Rui; Schmitt, Lauren M; Dominick, Kelli C; et al.","Journal of Psychiatric Research Vol. 138,  (Jun 2021): 89-95."
A novel method to simultaneously record spinal cord electrophysiology and electroencephalography signals,"Wang, Feixue; Zhang, Libo; Yue, Lupeng; Zeng, Yuxuan; Zhao, Qing; et al.","NeuroImage Vol. 232,  (May 15, 2021)."
Multivariate analysis of EEG activity indexes contingent attentional capture,"Munneke, Jaap; Fahrenfort, Johannes Jacobus; Sutterer, David; Theeuwes, Jan; Awh, Edward.","NeuroImage Vol. 226,  (Feb 1, 2021)."
Alertness fluctuations when performing a task modulate cortical evoked responses to transcranial magnetic stimulation,"Noreika, Valdas; Kamke, Marc R; Canales-Johnson, Andrés; Chennu, Srivas; Bekinschtein, Tristan A; et al.","NeuroImage Vol. 223,  (Dec 2020)."
Learning dynamics of electrophysiological brain signals during human fear conditioning,"Sperl, Matthias F. J; Wroblewski, Adrian; Mueller, Madeleine; Straube, Benjamin; Mueller, Erik M.","NeuroImage Vol. 226,  (Feb 1, 2021)."
