Title,Authors,Journal
Binaural beat induced theta EEG activity and hypnotic susceptibility: Contradictory results and technical considerations,"Stevens, Larry; Haga, Zach; Queen, Brandy; Brady, Brian; Adams, Deanna; et al.","American Journal of Clinical Hypnosis Vol. 45, Iss. 4,  (Apr 2003): 295-309."
Frontal EEG asymmetry and the behavioral activation and inhibition systems,"Coan, James A; Allen, John J. B.","Psychophysiology Vol. 40, Iss. 1,  (Jan 2003): 106-114."
Autonomic and EEG correlates of emotional imagery in subjects with different hypnotic susceptibility,"Sebastiani, L; Simoni, A; Gemignani, A; Ghelarducci, B; Santarcangelo, E. L.","Brain Research Bulletin Vol. 60, Iss. 1-2,  (Apr 2003): 151-160."
Quantitative interictal subdural EEG analyses in children with neocortical epilepsy,"Asano, Eishi; Muzik, Otto; Shah, Aashit; Juhász, Csaba; Chugani, Diane C; et al.","Epilepsia Vol. 44, Iss. 3,  (Mar 2003): 425-434."
Evoked EEG responses in a frequency range of 5.5-15 Hz in visual oddball paradigm (SEEG study),"Roman, R; Chládek, J; Brázdil, M; Jurák, P; Rektor, I; et al.","Homeostasis in Health and Disease Vol. 42, Iss. 5,  (2003): 210-212."
Interaction of personality and intelligence factors in cortex activity modulation,"Razoumnikova, Olga.","Personality and Individual Differences Vol. 35, Iss. 1,  (Jul 2003): 135-162."
The predictive value of electroencephalogram during early infancy for later development of West syndrome in infants with cystic periventricular leukomalacia,"Suzuki, Motomasa; Okumura, Akahisa; Watanabe, Kazuyoshi; Negoro, Tamiko; Hayakawa, Fumio; et al.","Epilepsia Vol. 44, Iss. 3,  (Mar 2003): 443-446."
Brain imaging techniques,"Ray, William J; Oathes, Desmond.","International Journal of Clinical and Experimental Hypnosis Vol. 51, Iss. 2,  (Apr 2003): 97-104."
EEG in children with early-onset benign occipital seizure susceptibility syndrome: Panayiotopoulos syndrome,"Ohtsu, Mayu; Oguni, Hirokazu; Hayashi, Kitami; Funatsuka, Makoto; Imai, Kaoru; et al.","Epilepsia Vol. 44, Iss. 3,  (Mar 2003): 435-442."
Effect of unilateral ibotenate lesions of the ventral tegmental area on cortical and hippocampal EEG in freely behaving rats,"Jurkowlaniec, Edyta; Tokarski, Juliusz; Trojniar, Weronika.","Acta Neurobiologiae Experimentalis Vol. 63, Iss. 4,  (2003): 369-375."
Predicting EEG responses using MEG sources in superior temporal gyrus reveals source asynchrony in patients with schizophrenia,"Huang, M. X; Edgar, J. C; Thoma, R. J; Hanlon, F. M; Moses, S. N; et al.","Clinical Neurophysiology Vol. 114, Iss. 5,  (May 2003): 835-850."
