Title,Authors,Journal
"A machine learning approach to the analysis of time-frequency maps, and its application to neural dynamics","Vialatte, Francois B; Martin, Claire; Dubois, Remi; Haddad, Joelle; Quenet, Brigitte; et al.","Neural Networks Vol. 20, Iss. 2,  (Mar 2007): 194-209."
Berlin Brain-Computer Interface - The HCI communication channel for discovery,"Krepki, Roman; Curio, Gabriel; Blankertz, Benjamin; Mueller, Klaus-Robert.","International Journal of Human-Computer Studies Vol. 65, Iss. 5,  (May 2007): 460-477."
Single Trial Classification of Motor Imagination Using 6 Dry EEG Electrodes,"Popescu, Florin; Fazli, Siamac; Yakob Badower; Blankertz, Benjamin; Klaus-R Müller.","PLoS One; San Francisco Vol. 2, Iss. 7,  (Jul 2007): e637."
Inferring functional brain states using temporal evolution of regularized classifiers,"Zhdanov, Andrey; Hendler, Talma; Ungerleider, Leslie; Intrator, Nathan.","Computational Intelligence and Neuroscience Vol. 2007, Iss. Q3,  (2007): 1-8."
Single Trial Classification of Motor Imagination Using 6 Dry EEG Electrodes,"Popescu, Florin; Fazli, Siamac; Yakob Badower; Blankertz, Benjamin; Klaus-R Müller.","PLoS One; San Francisco Vol. 2, Iss. 7,  (Jul 2007): e637. [Duplicate]"
A glimpse into your vision,"Gonzalez Andino, Sara L; de Peralta, Rolando Grave; Khateb, Asaid; Pegna, Alan J; Thut, Gregor; et al.","Human Brain Mapping Vol. 28, Iss. 7,  (Jul 2007): 614-624."
Lateralization of Interictal EEG Findings,"Loddenkemper, T; Burgess, R C; Syed, T; Pestana, E M.","Journal of Clinical Neurophysiology Vol. 24, Iss. 5,  (Oct 2007): 379-385."
Mutual information of image fragments predicts categorization in humans: Electrophysiological and behavioral evidence,"Harel, Assaf; Ullman, Shimon; Epshtein, Boris; Bentin, Shlomo.","Vision Research Vol. 47, Iss. 15,  (Jul 2007): 2010-2020."
Neuroimaging and Neurophysiology of Periodic Lateralized Epileptiform Discharges: Observations and Hypotheses,"Kalamangalam, Giridhar P; Diehl, Beate; Burgess, Richard C.","Epilepsia Vol. 48, Iss. 7,  (Jul 2007): 1396-1405."
"""Tonic-absence seizures"": an unusual seizure phenotype, but not necessarily in that order","Das, K B; Boyd, S G.","Epileptic Disorders Vol. 9, Iss. 2,  (Jun 2007): 153-157."
Is hypsarrhythmia a form of non-convulsive status epilepticus in infants?,"Lux, AL.","Acta Neurologica Scandinavica, suppl. Suppl. 186 Vol. 115,  (Apr 2007): 37-44."
Pattern Recognition of Sleep in Rodents Using Piezoelectric Signals Generated by Gross Body Movements,"Flores, A E; Flores, JE; Deshpande, H; Picazo, JA; Xie, Xinmin; et al.","IEEE Transactions on Biomedical Engineering Vol. 54, Iss. 2,  (2007)."
Pattern Recognition of Sleep in Rodents Using Piezoelectric Signals Generated by Gross Body Movements,"Flores, A E; Flores, JE; Deshpande, H; Picazo, JA; Xinmin, X; et al.","IEEE Transactions on Biomedical Engineering Vol. 54, Iss. 2,  (Feb 2007): 225-233. [Duplicate]"
Cueing effects on semantic and perceptual categorization: ERPs reveal differential effects of validity as a function of processing stage,"Lai, Grace; Mangels, Jennifer A.","Neuropsychologia Vol. 45, Iss. 9,  (2007): 2038-2050."
The non-invasive Berlin Brain-Computer Interface: fast acquisition of effective performance in untrained subjects.,"Blankertz, Benjamin; Dornhege, Guido; Krauledat, Matthias; Müller, Klaus-Robert; Curio, Gabriel; et al.","NeuroImage Vol. 37, Iss. 2,  (August 15, 2007): 539-550."
Temporal classification of multichannel near-infrared spectroscopy signals of motor imagery for developing a brain-computer interface,"Sitaram, Ranganatha; Zhang, Haihong; Guan, Cuntai; Thulasidas, Manoj; Hoshi, Yoko; et al.","NeuroImage; Amsterdam Vol. 34, Iss. 4,  (Feb 15, 2007): 1416-1427."
"A machine learning approach to the analysis of time--frequency maps, and its application to neural dynamics","Vialatte, François B; Martin, Claire; Dubois, Rémi; Haddad, Joëlle; Quenet, Brigitte; et al.","Neural Networks Vol. 20, Iss. 2,  (Mar 2007): 194-209. [Duplicate]"
A framework to support automated classification and labeling of brain electromagnetic patterns,"Frishkoff, Gwen A; Frank, Robert M; Rong, Jiawei; Dou, Dejing; Dien, Joseph; et al.","Computational Intelligence and Neuroscience Vol. 2007, Iss. Q4,  (2007): 1-13."
