Title,Authors,Journal
Intracerebral somatosensory event-related potentials: Effect of response type (button pressing versus mental counting) on P3-like potentials within the human brain,"Brázdil, Milan; Roman, Robert; Daniel, Pavel; Rektor, Ivan.","Clinical Neurophysiology Vol. 114, Iss. 8,  (Aug 2003): 1489-1496."
Event-related desynchronization and excitability of the ipsilateral motor cortex during simple self-paced finger movements,"Rau, Cornelia; Plewnia, Christian; Hummel, Friedhelm; Gerloff, Christian.","Clinical Neurophysiology Vol. 114, Iss. 10,  (Oct 2003): 1819-1826."
Shall I Move My Right or My Left Hand? An EEG Study in Frequency and Time Domains,"Babiloni, Claudio; Babiloni, Fabio; Carducci, Filippo; Cincotti, Febo; Del Percio, Claudio; et al.","Journal of Psychophysiology Vol. 17, Iss. 2,  (2003): 69-86."
"Effects of a Psychophysiological System for Adaptive Automation on Performance, Workload, and the Event-Related Potential P300 Component","Prinzel, Lawrence J., III; Freeman, Frederick G; Scerbo, Mark W; Mikulka, Peter J; Pope, Alan T.","Human Factors Vol. 45, Iss. 4,  (Jan 2003 - Mar 2003): 601-613."
Temporal instability of auditory and visual event-related potentials in posttraumatic stress disorder,"Neylan, Thomas C; Jasiukaitis, Paul A; Lenoci, Maryann; Scott, James C; Metzler, Thomas J; et al.","Biological Psychiatry Vol. 53, Iss. 3,  (Feb 2003): 216-225."
Computerized processing of EEG-EOG-EMG artifacts for multi-centric studies in EEG oscillations and event-related potentials,"Moretti, D. V; Babiloni, F; Carducci, F; Cincotti, F; Remondini, E; et al.","International Journal of Psychophysiology Vol. 47, Iss. 3,  (Mar 2003): 199-216."
A SEEG study of ERP in motor and premotor cortices and in the basal ganglia,"Rektor, I; Kaňovský, P; Bareš, M; Brázdil, M; Streitová, H; et al.","Clinical Neurophysiology Vol. 114, Iss. 3,  (Mar 2003): 463-471."
Syntactic comprehension in Parkinson's disease: Investigating early automatic and late integrational processes using event-related brain potentials,"Friederici, Angela D; Kotz, Sonja A; Werheid, Katja; Hein, Grit; von Cramon, D. Yves.","Neuropsychology Vol. 17, Iss. 1,  (Jan 2003): 133-142."
Evoked EEG responses in a frequency range of 5.5-15 Hz in visual oddball paradigm (SEEG study),"Roman, R; Chládek, J; Brázdil, M; Jurák, P; Rektor, I; et al.","Homeostasis in Health and Disease Vol. 42, Iss. 5,  (2003): 210-212."
The localizing value of auditory event-related potentials (P300) in patients with medically intractable temporal lobe epilepsy,"Abubakr, Abuhuziefa; Wambacq, Ilse.","Epilepsy & Behavior Vol. 4, Iss. 6,  (Dec 2003): 692-701."
Event-related potentials during forced awakening: A tool for the study of acute sleep inertia,"Bastuji, Hélène; Perrin, Fabien; Garcia-Larrea, Luis.","Journal of Sleep Research Vol. 12, Iss. 3,  (Sep 2003): 189-206."
"The ""Mozart Effect"": An Electroencephalographic Analysis Employing the Methods of Induced Event-Related Desynchronization/Synchronization and Event-Related Coherence","Jaušovec, Norbert; Habe, Katarina.","Brain Topography Vol. 16, Iss. 2,  (Jan 2003 - Mar 2003): 73-84."
Shall I Move My Right or My Left Hand? An EEG Study in Frequency and Time Domains,"Babiloni, Claudio; Babiloni, Fabio; Carducci, Filippo; Cincotti, Febo; Del Percio, Claudio; et al.","Journal of Psychophysiology Vol. 17, Iss. 2,  (2003): 69-86. [Duplicate]"
Auditory P300 amplitude as a state marker for positive symptoms in schizophrenia: Cross-sectional and retrospective longitudinal studies,"Higashima, Masato; Nagasawa, Tatsuya; Kawasaki, Yasuhiro; Oka, Takashi; Sakai, Naoto; et al.","Schizophrenia Research Vol. 59, Iss. 2-3,  (Feb 2003): 147-157."
Attention and movement-related motor cortex activation: A high-density EEG study of spatial stimulus-response compatibility,"Praamstra, P; Oostenveld, R.","Cognitive Brain Research Vol. 16, Iss. 3,  (May 2003): 309-322."
"The ""ticktock"" of our internal clock: Direct brain evidence of subjective accents in isochronous sequences","Brochard, Renaud; Abecasis, Donna; Potter, Doug; Ragot, Richard; Drake, Carolyn.","Psychological Science Vol. 14, Iss. 4,  (Jul 2003): 362-366."
"Effects of tobacco smoking on electroencephalographic, auditory evoked and event related potentials","Domino, Edward F.","Brain and Cognition Vol. 53, Iss. 1,  (Oct 2003): 66-74."
The Madrid card sorting test (MCST): A task switching paradigm to study executive attention with event-related potentials,"Barceló, Francisco.","Brain Research Protocols Vol. 11, Iss. 1,  (Mar 2003): 27-37."
