Title,Authors,Journal
Weighted phase lag index stability as an artifact resistant measure to detect cognitive EEG activity during locomotion,"Lau, Troy M; Gwin, Joseph T; McDowell, Kaleb G; Ferris, Daniel P.","Journal of NeuroEngineering and Rehabilitation Vol. 9, Iss. 1,  (2012): 47."
Level of participation in robotic-assisted treadmill walking modulates midline sensorimotor EEG rhythms in able-bodied subjects,"Wagner, Johanna; Solis-Escalante, Teodoro; Grieshofer, Peter; Neuper, Christa; Müller-Putz, Gernot; et al.","NeuroImage Vol. 63, Iss. 3,  (Nov 15, 2012): 1203-1211."
"Epilepsy, unawareness of seizures and driving license: The potential role of 24-hour ambulatory EEG in defining seizure freedom","Fattouch, J; Di Bonaventura, C; Lapenta, L; Casciato, S; Fanella, M; et al.","Epilepsy & Behavior Vol. 25, Iss. 1,  (Sep 2012): 32-35."
Latency to first interictal epileptiform discharge in epilepsy with outpatient ambulatory EEG,"Faulkner, Howard J; Arima, Hisatomi; Mohamed, Armin.","Clinical Neurophysiology Vol. 123, Iss. 9,  (Sep 2012): 1732-1735."
"The Effects of C75, an Inhibitor of Fatty Acid Synthase, on Sleep and Metabolism in Mice","Pellinen, Jacob; Szentirmai, Éva.","PLoS One; San Francisco Vol. 7, Iss. 2,  (Feb 2012): e30651."
Level of participation in robotic-assisted treadmill walking modulates midline sensorimotor EEG rhythms in able-bodied subjects,"Wagner, Johanna; Solis-Escalante, Teodoro; Grieshofer, Peter; Neuper, Christa; Mueller-Putz, Gernot; et al.","NeuroImage Vol. 63, Iss. 3,  (Nov 1, 2012): 1203-1211. [Duplicate]"
Diurnal pattern of seizures outside the hospital: Is there a time of circadian vulnerability?,"Pavlova, Milena K; Lee, Jong Woo; Yilmaz, Furkan; Dworetzky, Barbara A.","Neurology Vol. 78, Iss. 19,  (May 8, 2012): 1488-1492."
Decoding Intra-Limb and Inter-Limb Kinematics During Treadmill Walking From Scalp Electroencephalographic (EEG) Signals,"Presacco, Alessandro; Forrester, Larry W; Contreras-Vidal, Jose L.","IEEE Transactions on Neural Systems and Rehabilitation Engineering Vol. 20, Iss. 2,  (Mar 2012): 212-219."
Changes in hippocampal theta rhythm and their correlations with speed during different phases of voluntary wheel running in rats,"Li, J-Y; Kuo, TBJ; Hsieh, I-T; Yang, CCH.","Neuroscience Vol. 213,  (Jun 28, 2012): 54-61."
An EEG-based study of discrete isometric and isotonic human lower limb muscle contractions,"Gwin, Joseph T; Ferris, Daniel P.","Journal of NeuroEngineering and Rehabilitation Vol. 9, Iss. 1,  (2012): 35."
[Clinical psychophysiological markers of maladaptive neuropsychic conditions in polyclinic doctors of old and middle age with professional burnout syndrome].,"Parfenov, Iu A; National Library of Medicine.","Advances in gerontology = Uspekhi gerontologii Vol. 25, Iss. 3,  (2012): 422-426."
The safety and feasibility of outpatient carotid endarterectomy,"Doberstein, Curtis E; Goldman, Marc A; Grossberg, Jonathan A; Spader, Heather S.","Clinical Neurology and Neurosurgery; Assen Vol. 114, Iss. 2,  (2012): 108-11."
Effects of the muscarinic agonist pilocarpine on vigilance states and locomotor activity in ring doves,"Tejada, S; Nicolau, M. C; Gamundí, A; Esteban, S.","Physiology & Behavior Vol. 105, Iss. 4,  (Feb 28, 2012): 1007-1013."
Weighted phase lag index stability as an artifact resistant measure to detect cognitive EEG activity during locomotion,"Lau, Troy M; Gwin, Joseph T; McDowell, Kaleb G; Ferris, Daniel P.","Journal of Neuroengineering and Rehabilitation; London Vol. 9,  (2012): 47. [Duplicate]"
Effects of the muscarinic agonist pilocarpine on vigilance states and locomotor activity in ring doves,"Tejada, S; Nicolau, M C; Gamundí, A; Esteban, S.","Physiology & behavior Vol. 105, Iss. 4,  (Feb 28, 2012): p. 1007-1013. [Duplicate]"
