Title,Authors,Journal
The contribution of EEG coherence to the investigation of language,"Weiss, Sabine; Mueller, Horst M.","Brain and Language Vol. 85, Iss. 2,  (May 2003): 325-343."
Computerized processing of EEG-EOG-EMG artifacts for multi-centric studies in EEG oscillations and event-related potentials,"Moretti, D. V; Babiloni, F; Carducci, F; Cincotti, F; Remondini, E; et al.","International Journal of Psychophysiology Vol. 47, Iss. 3,  (Mar 2003): 199-216."
An ERP study of the global precedence effect: The role of spatial frequency,"Han, Shihui; Yund, E. William; Woods, David L.","Clinical Neurophysiology Vol. 114, Iss. 10,  (Oct 2003): 1850-1865."
Recognition Memory for High- and Low-Frequency Words in Adult Normal and Dyslexic Readers: An Event-Related Brain Potential Study,"Rüsseler, Jascha; Probst, Stefan; Johannes, Sönke; Münte, Thomas F.","Journal of Clinical and Experimental Neuropsychology Vol. 25, Iss. 6,  (Sep 2003): 815-829."
Personality trait of behavioral inhibition is associated with oscillatory systems reciprocal relationships,"Knyazev, Gennadij G; Slobodskaya, Helena R.","International Journal of Psychophysiology Vol. 48, Iss. 3,  (Jun 2003): 247-261."
"Personality, psychopathology and brain oscillations","Knyazev, Gennadij G; Slobodskaya, Helena R; Safronova, Margarita V; Sorokin, Oleg V; Goodman, Robert; et al.","Personality and Individual Differences Vol. 35, Iss. 6,  (Oct 2003): 1331-1349."
The role of theta-range oscillations in synchronizing and integrating activity in distributed mnemonic networks,"Kirk, Ian J; Mackay, James C.","Cortex: A Journal Devoted to the Study of the Nervous System and Behavior Vol. 39, Iss. 4-5,  (Sep 2003 - Dec 2003): 993-1008."
High frequency (200 Hz) oscillations and firing patterns in the basolateral amygdala and dorsal endopiriform nucleus of the behaving rat,"Ponomarenko, Alexei A; Korotkova, Tatiana M; Haas, Helmut L.","Behavioural Brain Research Vol. 141, Iss. 2,  (May 2003): 123-129."
Selective impairment of hippocampal gamma oscillations in connexin-36 knock-out mouse in vivo,"Buhl, Derek L; Harris, Kenneth D; Hormuzdi, Sheriar G; Monyer, Hanna; Buzsáki, György.","The Journal of Neuroscience Vol. 23, Iss. 3,  (Feb 2003): 1013-1018."
The Effects of a Cholinesterase Inhibitor Are Prominent in Patients With Fluctuating Cognition: A Part 3 Study of the Main Mechanism of Cholinesterase Inhibitors in Dementia,"Onofrj, Marco; Thomas, Astrid; lacono, Diego; Luciano, Anna Lisa; di Iorio, Angelo.","Clinical Neuropharmacology Vol. 26, Iss. 5,  (Sep 2003 - Oct 2003): 239-251."
The effect of diazepam on motor cortical oscillations and corticomuscular coherence studied in man,"Baker, Mark R; Baker, Stuart N.","The Journal of Physiology Vol. 546, Iss. 3,  (Feb 2003): 931-942."
Are the electroencephalograms mainly rhythmic? Assessment of periodicity in wide-band time series,"Bullock, TH; Mcclune, M C; Enright, J T.","Neuroscience Vol. 121, Iss. 1,  (Sep 2003): 233-252."
Gamma Oscillations Correlate with Working Memory Load in Humans,"Howard, M W; Rizzuto, D S; Caplan, J B; Madsen, J R; Lisman, J; et al.","Cerebral Cortex Vol. 13, Iss. 12,  (Dec 2003): 1369-1374."
Object-load and feature-load modulate EEG in a short-term memory task,"Busch, NA; Herrmann, C S.","Neuroreport Vol. 14, Iss. 13,  (Sep 15, 2003): 1721-1724."
Circadian rhythms in humans' delta sleep electroencephalogram,"Tan, X; Uchiyama, M; Shibui, K; Tagaya, H; Suzuki, H; et al.","Neuroscience Letters Vol. 344, Iss. 3,  (Jul 3, 2003): 205-208."
Augmentation of induced visual gamma activity by increased task complexity,"Posada, A; Hugues, E; Franck, N; Vianin, P; Kilner, J.","European Journal of Neuroscience Vol. 18, Iss. 8,  (Oct 2003): 2351-2356."
Dynamical diseases of brain systems: different routes to epileptic seizures,"da Silva, FHL; Blanes, W; Kalitzin, S N; Parra, J; Suffczynski, P; et al.","IEEE Transactions on Biomedical Engineering Vol. 50, Iss. 5,  (2003)."
Reset of human neocortical oscillations during a working memory task,"Rizzuto, D S; Madsen, J R; Bromfield, E B; Schulze-Bonhage, A; Seelig, D; et al.","Proceedings of the National Academy of Sciences, USA Vol. 100, Iss. 13,  (Jun 24, 2003): 7931-7936."
Neural hybrid model of semantic object memory: Implications from event-related timing using fMRI,"Kraut, Michael A; Calhoun, Vince; Pitcock, Jeffrey A; Cusick, Catherine; Hart, John, Jr.","Journal of the International Neuropsychological Society Vol. 9, Iss. 7,  (Nov 2003): 1031-1040."
Theta and Gamma Oscillations during Encoding Predict Subsequent Recall,"Sederberg, Per B; Kahana, Michael J; Howard, Marc W; Donner, Elizabeth J; Madsen, Joseph R.","The Journal of Neuroscience Vol. 23, Iss. 34,  (Nov 2003): 10809-10814."
The BOLD response and the gamma oscillations respond differently than evoked potentials: an interleaved EEG-fMRI study,"Foucher, Jack R; Otzenberger, Helene; Gounot, Daniel.","BMC Neuroscience Vol. 4,  (2003)."
