Title,Authors,Journal
Global functional coupling of resting EEG rhythms is abnormal in mild cognitive impairment and Alzheimer’s disease: A multicenter EEG study,"Babiloni, Claudio; Frisoni, Giovanni; Vecchio, Fabrizio; Lizio, Roberta; Pievani, Michela; et al.","Journal of Psychophysiology Vol. 23, Iss. 4,  (2009): 224-234."
"Spontaneous EEG oscillations in children, adolescents, and adults: Typical development, and pathological aspects in relation to AD/HD","Barry, Robert J; Clarke, Adam R.","Journal of Psychophysiology Vol. 23, Iss. 4,  (2009): 157-173."
How wrong can we be? The effect of inaccurate mark-up of EEG/fMRI studies in epilepsy,"Flanagan, Danny; Abbott, David F; Jackson, Graeme D.","Clinical Neurophysiology Vol. 120, Iss. 9,  (Sep 2009): 1637-1647."
Global functional coupling of resting EEG rhythms is abnormal in mild cognitive impairment and Alzheimer’s disease: A multicenter EEG study,"Babiloni, Claudio; Frisoni, Giovanni; Vecchio, Fabrizio; Lizio, Roberta; Pievani, Michela; et al.","Journal of Psychophysiology Vol. 23, Iss. 4,  (2009): 224-234. [Duplicate]"
Inter-hemispheric functional coupling of eyes-closed resting EEG rhythms in adolescents with Down syndrome,"Babiloni, Claudio; Albertini, Giorgio; Onorati, Paolo; Vecchio, Fabrizio; Buffo, Paola; et al.","Clinical Neurophysiology Vol. 120, Iss. 9,  (Sep 2009): 1619-1627."
Human microsaccade-related visual brain responses,"Dimigen, Olaf; Valsecchi, Matteo; Sommer, Werner; Kliegl, Reinhold.","The Journal of Neuroscience Vol. 29, Iss. 39,  (Sep 30, 2009): 12321-12331."
The cerebellum in emotion regulation: A repetitive transcranial magnetic stimulation study,"Schutter, Dennis J. L. G; van Honk, Jack.","The Cerebellum Vol. 8, Iss. 1,  (Mar 2009): 28-34."
"Spontaneous EEG oscillations in children, adolescents, and adults: Typical development, and pathological aspects in relation to AD/HD","Barry, Robert J; Clarke, Adam R.","Journal of Psychophysiology Vol. 23, Iss. 4,  (2009): 157-173. [Duplicate]"
The track of brain activity during the observation of TV commercials with the high-resolution EEG technology,"Astolfi, Laura; Vecchiato, Giovanni; De Vico Fallani, Fabrizio; Salinari, Serenella; Cincotti, Febo; et al.","Computational Intelligence and Neuroscience Vol. 2009,  (2009)."
Curcumin protects against electrobehavioral progression of seizures in the iron-induced experimental model of epileptogenesis,"Jyoti, Amar; Sethi, Pallavi; Sharma, Deepak.","Epilepsy & Behavior Vol. 14, Iss. 2,  (Feb 2009): 300-308."
