PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
C	De Lucia, M; Michel, CM; Clarke, S; Murray, MM			IEEE	De Lucia, Marzia; Michel, Christoph M.; Clarke, Stephanie; Murray, Micah M.			Single-trial topographic analysis of human EEG: A new 'image' of event-related potentials	2007 6TH INTERNATIONAL SPECIAL TOPIC CONFERENCE ON INFORMATION TECHNOLOGY APPLICATIONS IN BIOMEDICINE			English	Proceedings Paper	6th IEEE International Special Topic Conference on Information Technology Applications in Biomedicine	NOV 08-10, 2007	Tokyo, JAPAN	IEEE		electroencephalography; event related potential; single trial; segmentation	COMPONENTS; SEGMENTATION; COGNITION; DYNAMICS	We present a novel approach for analyzing single-trial electroencephalography (EEG) data, using topographic information. The method allows for visualizing event-related potentials using all the electrodes of recordings overcoming the problem of previous approaches that required electrode selection and waveforms filtering. We apply this method to EEG data from an auditory object recognition experiment that we have previously analyzed at an ERP level. Temporally structured periods were statistically identified wherein a given topography predominated without any prior information about the temporal behavior. In addition to providing novel methods for EEG analysis, the data indicate that ERPs are reliably observable at a single-trial level when examined topographically.	[De Lucia, Marzia; Michel, Christoph M.; Murray, Micah M.] Ctr Biomed Imaging Geneva & Lausanne, EEG Brain Mapping Core, Lausanne, Switzerland; [Michel, Christoph M.] Univ Geneva, Funct Brain Mapping Lab, Geneva, Switzerland; [Clarke, Stephanie; Murray, Micah M.] CHU Vaudois, Neuropsychol & Neurorehabil Serv, Lausanne, Switzerland; [Murray, Micah M.] CHU Vaudois, Serv Radiol, Lausanne, Switzerland; Univ Lausanne, Lausanne, Switzerland		De Lucia, M (corresponding author), Ctr Biomed Imaging Geneva & Lausanne, EEG Brain Mapping Core, Lausanne, Switzerland.		Clarke, Stephanie/A-2845-2009; De Lucia, Marzia/O-6523-2015; Murray, Micah/A-8851-2008	Clarke, Stephanie/0000-0001-9393-5718; De Lucia, Marzia/0000-0001-8792-7885; Murray, Micah/0000-0002-7821-117X	Swiss National Science Foundation	Swiss National Science Foundation(Swiss National Science Foundation (SNSF)European Commission)	We thank Christian Camen for his assistance with data collection and Prof. Peter Dayan for his valuable comments. The Swiss National Science Foundation provided financial support.		19	3	3	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-1867-1				2007							29	+						2	Computer Science, Information Systems; Engineering, Biomedical; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BHP90					2022-08-02	WOS:000255227100009
C	Ivannikov, A; Karkkainen, T; Ristaniemi, T; Lyytinen, H			IEEE	Ivannikov, Andriy; Karkkainen, Tommi; Ristaniemi, Tapani; Lyytinen, Heikki			Extraction of ERP from EEG data	2007 9TH INTERNATIONAL SYMPOSIUM ON SIGNAL PROCESSING AND ITS APPLICATIONS, VOLS 1-3			English	Proceedings Paper	9th International Symposium on Signal Processing and its Applications	FEB 12-15, 2007	Sharjah, U ARAB EMIRATES				INDEPENDENT COMPONENT ANALYSIS; SEPARATION; ARTIFACTS	In this article, a simple but novel technique for extracting a linear subspace related to Event Related Potentials (ERPs) from ElectroEncephaloGraphy (EEG) data is introduced. The technique consists of a sequence of basic linear operations applied to multidimensional EEG data in a problem-specific manner. The derivation of the proposed technique is given and results with real data are described together with overall conclusions.	[Ivannikov, Andriy; Karkkainen, Tommi; Ristaniemi, Tapani] Univ Jyvaskyla, Dept MIT, SF-40351 Jyvaskyla, Finland; [Lyytinen, Heikki] Univ Jyvaskyla, Dept Psychol, Jyvaskyla, Finland		Ivannikov, A (corresponding author), Univ Jyvaskyla, Dept MIT, SF-40351 Jyvaskyla, Finland.	aivanni@cc.jyu.fi; tommi.karkkainen@mit.jyu.fi; tapani.ristaniemi@mit.jyu.fi; heikki.lyytinen@psyka.jyu.fi	Lyytinen, Heikki/AAS-3200-2020						17	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-0778-1				2007							784	+						2	Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering	BIH01					2022-08-02	WOS:000259439900197
C	Xiong, XB; Chen, YG			IEEE	Xiong, Xinbing; Chen, Yaguang			Extracting ERP by combination of subspace method and lift wavelet transform	2005 27TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY, VOLS 1-7	PROCEEDINGS OF ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE AND BIOLOGY SOCIETY		English	Proceedings Paper	27th Annual International Conference of the IEEE-Engineering-in-Medicine-and-Biology-Society	AUG 31-SEP 03, 2005	Shanghai, PEOPLES R CHINA	IEEE Engn Med & Biol Soc, Chinese Acad Engn Sci		event related potentials; singular value decomposition; lift wavelet transform		Event Related Potentials (ERP) recorded from the scalp include various noises. The main source of the noise is the spontaneous brain activity and it is called the background Electroencephalography (EEG). Because EEG is highly colored, we wouldn't effectively remove EEG noise by wavelet transform. This paper proposed a new approach that combined the subspace method and lift wavelet transform in order to reduce the number of trials required for the extraction of the brain Event Related Potentials. First, the signal subspace is estimated by applying the singular value decomposition (SVD). Orthonormal projecting the raw data onto the estimated signal subspace can obtain a pre-denoised signal and it whitened the colored noise. Next, the ERPs are extracted by lift wavelet construction of the enhanced version. Simulation results show that the combination of both two methods provides much better capability than each of them separately.	S Ctr Univ Natinalities, Sch Elect & Informat Engn, Wuhan 430074, Peoples R China		Xiong, XB (corresponding author), S Ctr Univ Natinalities, Sch Elect & Informat Engn, Wuhan 430074, Peoples R China.	Xiongxb@scuec.edu.cn; ygchen@scuec.edu.cn							9	3	3	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1094-687X		0-7803-8740-6	P ANN INT IEEE EMBS			2005							5938	5941						4	Engineering, Biomedical	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering	BER00	17281613				2022-08-02	WOS:000238998405091
J	Koh, Y; An, KO; Lee, C; Jung, HK				Koh, Yuri; An, Kwang-Ok; Lee, Chany; Jung, Hyun-Kyo			Auditory illusions in the brain after visual/auditory training	INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS			English	Article; Proceedings Paper	12th International Symposium on Interdisciplinary Electromagnetic, Mechanic and Biomedical Problems	SEP 12-14, 2005	Bad Gastein, AUSTRIA			electroencephalography (EEG); event-related potential (ERP); visual/auditory training	CORTEX	Previous studies demonstrated that visual stimuli activate auditory cortex in deaf subjects [1,2]. In this paper, we used electroencephalography (EEG) in hearing subjects to evaluate whether auditory cortex comes to serve the visual modality after visual/auditory training. In the perceptual feedback training, the hearing subjects were trained to relate certain visual sources to particular sound sources. In the results, we found that visual activity was observed in the auditory cortex when only the visual stimuli were given to the subjects and feedback training improved the subjects' ability to associate visual actions with particular sound sources.	Seoul Natl Univ, Sch Elect Engn, Seoul 151742, South Korea		Koh, Y (corresponding author), Seoul Natl Univ, Sch Elect Engn, Shillim Dong, Seoul 151742, South Korea.	starbreaker@elecmech.snu.ac.kr							6	0	0	1	5	IOS PRESS	AMSTERDAM	NIEUWE HEMWEG 6B, 1013 BG AMSTERDAM, NETHERLANDS	1383-5416	1875-8800		INT J APPL ELECTROM	Int. J. Appl. Electromagn. Mech.		2007	25	1-4					675	679		10.3233/JAE-2007-760	http://dx.doi.org/10.3233/JAE-2007-760			5	Engineering, Electrical & Electronic; Mechanics; Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Mechanics; Physics	191SA					2022-08-02	WOS:000248151100106
C	Abe, H; Nakayama, M			IEEE	Abe, Hiroshi; Nakayama, Minoru			An ICA approach for extracting task-related components from EEG signals	2006 INTERNATIONAL SYMPOSIUM ON INTELLIGENT SIGNAL PROCESSING AND COMMUNICATIONS, VOLS 1 AND 2	International Symposium on Intelligent Signal Processing and Communication Systems ISPACS		English	Proceedings Paper	International Symposium on Intelligent Signal Processing and Communications	DEC 12-15, 2006	Yonago, JAPAN					Independent component analysis (ICA) is suggested to be useful in the analysis of signals (electroencephalography (EEG) and event-related potential (ERP)) recorded from the scalp electrodes to examine brain activity. But ICA analysis of ERP has the problem that it lacks validity across subjects. Therefore, we examined a new approach to give validity across subjects to ICA results obtained from single subjects. To do this, we combined two criteria of how much a single subject's signals contain task-related components and the similarity, of the spatial patterns of those task-related components across subjects. We applied our approach to EEG data recorded in an experiment. As a result, analysis with a combination of ICA and our approach extracted significantly more task-related components from the observed signals than analysis without the combination did, although both analyses suggested that the occipital area activity was most relevant to performing the task across subjects. These results suggest that our approach is useful for extracting task-related components from the observed EEG signals and for giving validity across subjects in ICA analysis of EEG/ERP.	[Abe, Hiroshi] Tokyo Inst Technol, Grad Sch Decis Sci & Technol, Tokyo 1528552, Japan; [Nakayama, Minoru] Tokyo Inst Technol, CRADLE, Tokyo 1528552, Japan		Abe, H (corresponding author), Tokyo Inst Technol, Grad Sch Decis Sci & Technol, Tokyo 1528552, Japan.	abe@nk.cradle.titech.ac.jp; nakayama@cradle.titech.ac.jp	Nakayama, Minoru/C-9308-2015	Nakayama, Minoru/0000-0001-5563-6901					8	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-0-7803-9732-3	I S INTELL SIG PROC			2006							749	+						2	Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Telecommunications	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Engineering; Telecommunications	BGH43					2022-08-02	WOS:000246984700187
J	Rosso, OA				Rosso, Osvaldo A.			Entropy changes in brain function	INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY			English	Article						EEG; ERP; epilepsy; wavelet analysis; signal entropy	EVENT-RELATED POTENTIALS; INFORMATIONAL TOOLS; WAVELET ENTROPY; TRANSIENT DOMINANCE; EEG-ANALYSIS	The traditional way of analyzing brain electrical activity, on the basis of electroencephalography (EEG) records, relies mainly on visual inspection and years of training. Although it is quite useful, of course, one has to acknowledge its subjective nature that hardly allows for a systematic protocol. In the present work quantifiers based on information theory and wavelet transform are reviewed. The "relative wavelet energy" provides information about the relative energy associated with different frequency bands present in the EEG and their corresponding degree of importance. The "normalized total wavelet entropy" carries information about the degree of order-disorder associated with a multifrequency signal response. Their application in the analysis and quantification of short duration EEG signals (event-related potentials) and epileptic EEG records are summarized. (c) 2007 Published by Elsevier B.V.	Univ Buenos Aires, Fac Ciencias Exactas & Nat, Inst Calculo, Chaos & Biol Grp, RA-1428 Buenos Aires, DF, Argentina		Rosso, OA (corresponding author), Univ Buenos Aires, Fac Ciencias Exactas & Nat, Inst Calculo, Chaos & Biol Grp, Pabellon 2,Ciudad Univ, RA-1428 Buenos Aires, DF, Argentina.	oarosso@fibetel.com.ar	Rosso, Osvaldo A/B-7275-2013; Rosso, Osvaldo/O-4929-2019	Rosso, Osvaldo A/0000-0002-1288-2528; Rosso, Osvaldo/0000-0002-1288-2528					27	47	51	2	9	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0167-8760			INT J PSYCHOPHYSIOL	Int. J. Psychophysiol.	APR	2007	64	1					75	80		10.1016/j.ijpsycho.2006.07.010	http://dx.doi.org/10.1016/j.ijpsycho.2006.07.010			6	Psychology, Biological; Neurosciences; Physiology; Psychology; Psychology, Experimental	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Psychology; Neurosciences & Neurology; Physiology	162MM	17234291				2022-08-02	WOS:000246091900010
C	Markazi, SA; Stergioulas, LK; Ramchurn, A; Bunce, D			IEEE	Markazi, Seyedehmina Ayoubian; Stergioulas, Larnpros. K.; Ramchurn, Anusha; Bunce, David			Latency corrected wavelet filtering of the P300 event-related potential in young and old adults	2007 3RD INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING, VOLS 1 AND 2			English	Proceedings Paper	3rd International IEEE/EMBS Conference on Neural Engineering	MAY 02-05, 2007	Kohala Coast, HI	IEEE, EMBS		age; electroencephalography; EEG; ERP; P300; wavelet transform; wavelet filtering; latency corrected		The purpose of this study was to apply a non-linear wavelet denoising filter to the extraction of transient evoked related potentials (ERPs) from background EEG. The study introduces a new method for filtering the P300, an ERP component evoked by performing a given cognitive task, in this case, a two-choice reaction time task. The method employed latency correction of the ERPs in the time domain, followed by noise-masking in the wavelet domain. With this filtering method, the P300 component was accurately localized in both time and scale. Wilcoxon tests verified the statistical significance of P300 peak amplitude differences (p<0.0003) between two age groups (old and young).	[Markazi, Seyedehmina Ayoubian; Stergioulas, Larnpros. K.] Brunel Univ, Sch Informat Syst Comp & Math, Uxbridge UB8 3PH, Middx, England; [Bunce, David] Brunel Univ, Ctr Cognit & Neuroimaging, Uxbridge UB8 3PH, Middx, England; [Ramchurn, Anusha] Univ London Goldsmiths Coll, Dept Psychol, London WC1E 7HU, England		Markazi, SA (corresponding author), Brunel Univ, Sch Informat Syst Comp & Math, Uxbridge UB8 3PH, Middx, England.	seyedehmina.ayoubian@brunel.ac.uk		Bunce, David/0000-0003-3265-2700	CNRS, INRIA and INSERM; French Research Ministry	CNRS, INRIA and INSERM; French Research Ministry(Ministry of Research, France)	This work was supported in part by a grant common to CNRS, INRIA and INSERM and by a grant from the French Research Ministry		19	1	1	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-4244-0791-0				2007							582	+		10.1109/CNE.2007.369740	http://dx.doi.org/10.1109/CNE.2007.369740			3	Engineering, Electrical & Electronic; Nanoscience & Nanotechnology; Neurosciences	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Science & Technology - Other Topics; Neurosciences & Neurology	BGM68					2022-08-02	WOS:000248513500145
C	Shibukawa, M; Funada, M; Ninomija, S		DeFelice, F		Shibukawa, Miki; Funada, Mariko; Ninomija, Satoki			Model of learning process based on characteristic event related potentials	PROCEEDINGS OF THE 16TH IASTED INTERNATIONAL CONFERENCE ON APPLIED SIMULATION AND MODELLING	IASTED International Conference on Modelling and Simulation		English	Proceedings Paper	16th IASTED International Conference on Applied Simulation and Modelling	AUG 29-31, 2007	Palma de Mallorca, SPAIN	Int Assoc Sci & Technol Dev, IASTED TCMS		learning model; event related potentials; electroencephalogram; modeling; evaluation	AUDITORY SIGNAL-DETECTION; SEMANTIC CONGRUITY; BRAIN POTENTIALS; REPETITION; TASK; RECOGNITION; EXPECTANCY; SENTENCES	The purpose of the paper was to determine whether changes in the teaming process could be assessed based on characteristic ERP and ERP changes, as well as the level of model accuracy that is required to ascertain the changes in the teaming process. We presented arithmetic tasks to subjects and simultaneously recorded correct response rate, response time, and electroencephalogram (EEG). Then Event Related Potential (ERP) was calculated from the EEG. Three-step modeling was then conducted using correct response rate and response time as objective variables and characteristic ERP as an explanatory variable. These results were interpreted using the teaming process model.	[Shibukawa, Miki; Funada, Mariko; Ninomija, Satoki] Hakuoh Univ, 1117 Daigyouji Oyama, Oyama, Tochigi 3238585, Japan		Shibukawa, M (corresponding author), Hakuoh Univ, 1117 Daigyouji Oyama, Oyama, Tochigi 3238585, Japan.								27	1	1	0	1	ACTA PRESS ANAHEIM	ANAHEIM	PO BOX 5124, ANAHEIM, CA 92814-5124 USA	1021-8181		978-0-88986-687-4	IASTED MODEL SIMUL			2007							330	+						2	Computer Science, Artificial Intelligence; Operations Research & Management Science; Mathematics, Applied	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science; Operations Research & Management Science; Mathematics	BGZ04					2022-08-02	WOS:000251419200059
J	Horrobin, SL; McNair, NA; Kirk, IJ; Waldie, KE				Horrobin, S. L.; McNair, N. A.; Kirk, I. J.; Waldie, K. E.			Dexamphetamine normalises electrophysiological activity in attention deficit-hyperactivity disorder during the Stroop task	NEUROCASE			English	Article						ADHD; amphetamine; case study; EEG; ERP; incongruent; psychostimulant medication; Stroop	EVENT-RELATED POTENTIALS; EXTENDED-RELEASE DEXMETHYLPHENIDATE; DEFICIT/HYPERACTIVITY-DISORDER; FRONTAL-LOBE; ANTERIOR CINGULATE; SELECTIVE ATTENTION; RESPONSE-INHIBITION; DOPAMINE THEORY; EEG-ANALYSIS; CHILDREN	A case study was conducted to investigate whether dexamphetamine enhances interference control in an adult with attention deficit/hyperactivity disorder. Continuous electroencephalography was recorded both on and off dexamphetamine during performance on a Stroop task. An age-, gender- and IQ-matched control also completed the same task. Event related potentials for the control participant revealed a positive potential to incongruent stimuli between 270 and 440 ms, whereas for the participant with attention deficit/hyperactivity disorder off medication, the reverse polarity was observed in a later time window. Following administration of dexamphetamine, however, the event-related potentials for the incongruent condition closely resembled those in the control, suggesting that dexamphetamine successfully normalises electroencephalographic activity.	[Horrobin, S. L.; McNair, N. A.; Kirk, I. J.; Waldie, K. E.] Univ Auckland, Dept Psychol, Res Ctr Cognit Neurosci, Auckland 1142, New Zealand		Waldie, KE (corresponding author), Univ Auckland, Dept Psychol, Res Ctr Cognit Neurosci, Private Bag 92019, Auckland 1142, New Zealand.	k.waldie@auckland.ac.nz	Kirk, Ian/L-5954-2019	Kirk, Ian/0000-0002-0444-6718; Waldie, Karen/0000-0001-7909-0464					79	2	2	0	7	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1355-4794	1465-3656		NEUROCASE	Neurocase	OCT-DEC	2007	13	5-6					301	310		10.1080/13554790701770850	http://dx.doi.org/10.1080/13554790701770850			10	Clinical Neurology; Psychiatry; Psychology	Science Citation Index Expanded (SCI-EXPANDED)	Neurosciences & Neurology; Psychiatry; Psychology	309UE	18781428				2022-08-02	WOS:000256484900001
S	Wen, XT; Zhao, XJ; Yao, L		Wang, J; Yi, Z; Zurada, JM; Lu, BL; Yin, H		Wen, Xiao-Tong; Zhao, Xiao-Jie; Yao, Li			Time-frequency analysis of EEG based on event related cognitive task	ADVANCES IN NEURAL NETWORKS - ISNN 2006, PT 3, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE		English	Article; Proceedings Paper	3rd International Symposium on Neural Networks (ISNN 2006)	MAY 28-31, 2006	Chengdu, PEOPLES R CHINA	Univ Electr Sci & Technol China, Chinese Univ Hong Kong, Asia Pacific Neural Network Assembly, European Neural Network Soc, IEEE Circuits & Syst Soc, IEEE Computat Intelligence Soc, Int Neural Network Soc, Natl Nat Sci Fdn China, KC Wong Educ Fdn Hong Kong				Compared with traditional time analysis and frequency analysis, time-frequency analysis of EEG not only reveals more abundant information but also reflects their dynamic temporal oscillatory activities. Event related potential (ERP) is a kind of cognitive electroencephalogram (EEG) signal, which are directly related with task and average across spontaneous EEG. Effective time-frequency representation method and how to analyze EEG based on the event related cognitive task in time-frequency domain according to their experiment speciality are the hot study at present. In current paper, a new time-frequency method about filter bank and Hilbert transform (FBHT) was introduced, and the application for ERP and ER-EEG signal were explored in order to mine new information effectively during the classic Stroop cognitive task.	Beijing Normal Univ, Dept Elect, Beijing 100088, Peoples R China; Beijing Normal Univ, Inst Cognit Neurosci & Learning, Beijing 100088, Peoples R China		Wen, XT (corresponding author), Beijing Normal Univ, Dept Elect, Beijing 100088, Peoples R China.	zhaoxj86@hotmail.com							10	4	4	1	2	SPRINGER-VERLAG BERLIN	BERLIN	HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY	0302-9743		3-540-34482-9	LECT NOTES COMPUT SC			2006	3973						579	585						7	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S); Science Citation Index Expanded (SCI-EXPANDED)	Computer Science	BET87					2022-08-02	WOS:000239485300085
